year_month,Movie,TV Show
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,0
2011-05,1,0
2011-06,0,0
2011-07,0,0
2011-08,0,0
2011-09,1,0
2011-10,11,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,1,0
2012-03,0,0
2012-04,0,0
2012-05,0,0
2012-06,0,0
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,0
2012-11,1,0
2012-12,1,0
2013-01,0,0
2013-02,0,0
2013-03,0,0
2013-04,0,0
2013-05,0,0
2013-06,0,0
2013-07,0,0
2013-08,0,1
2013-09,1,1
2013-10,1,2
2013-11,2,0
2013-12,2,0
2014-01,2,0
2014-02,1,1
2014-03,0,0
2014-04,1,1
2014-05,0,0
2014-06,1,0
2014-07,1,0
2014-08,1,0
2014-09,1,1
2014-10,4,0
2014-11,2,3
2014-12,5,1
2015-01,1,1
2015-02,3,1
2015-03,3,2
2015-04,1,4
2015-05,5,2
2015-06,4,4
2015-07,5,3
2015-08,2,0
2015-09,6,3
2015-10,10,5
2015-11,2,2
2015-12,16,7
2016-01,15,30
2016-02,9,7
2016-03,14,4
2016-04,14,9
2016-05,9,4
2016-06,11,8
2016-07,19,10
2016-08,24,17
2016-09,29,19
2016-10,34,18
2016-11,28,18
2016-12,52,42
2017-01,58,15
2017-02,66,18
2017-03,102,38
2017-04,66,29
2017-05,63,25
2017-06,65,30
2017-07,45,35
2017-08,77,38
2017-09,86,33
2017-10,99,32
2017-11,57,31
2017-12,79,40
2018-01,108,22
2018-02,64,24
2018-03,137,38
2018-04,87,31
2018-05,73,26
2018-06,50,28
2018-07,128,30
2018-08,135,34
2018-09,83,44
2018-10,145,46
2018-11,119,41
2018-12,126,65
2019-01,123,39
2019-02,113,46
2019-03,119,60
2019-04,121,50
2019-05,110,51
2019-06,127,48
2019-07,102,67
2019-08,92,53
2019-09,92,44
2019-10,132,71
2019-11,195,76
2019-12,172,49
2020-01,164,64
2020-02,71,46
2020-03,96,56
2020-04,130,58
2020-05,109,64
2020-06,119,49
2020-07,103,53
2020-08,83,61
2020-09,116,62
2020-10,117,58
2020-11,103,56
2020-12,101,74
