"country","code","value"
"Argentina","ARG",100
"Australia","AUS",63
"Austria","AUT",71
"Bahamas","BHS",60
"Belgium","BEL",58
"Brazil","BRA",67
"Bulgaria","BGR",54
"Cambodia","KHM",75
"Canada","CAN",56
"Chile","CHL",62
"China","CHN",60
"Colombia","COL",31
"Croatia","HRV",83
"Czech Republic","CZE",52
"Denmark","DNK",59
"Egypt","EGY",58
"Finland","FIN",73
"France","FRA",60
"Germany","DEU",55
"Greece","GRC",76
"Hong Kong","HKG",63
"Hungary","HUN",61
"Iceland","ISL",56
"India","IND",58
"Indonesia","IDN",66
"Iran","IRN",91
"Ireland","IRL",60
"Israel","ISR",79
"Italy","ITA",50
"Jamaica","JAM",73
"Japan","JPN",67
"Jordan","JOR",69
"Kenya","KEN",70
"Kuwait","KWT",60
"Lebanon","LBN",66
"Liechtenstein","LIE",84
"Luxembourg","LUX",62
"Malawi","MWI",86
"Malta","MLT",26
"Mexico","MEX",61
"Morocco","MAR",45
"Netherlands","NLD",64
"New Zealand","NZL",74
"Nigeria","NGA",57
"Norway","NOR",67
"Pakistan","PAK",48
"Philippines","PHL",68
"Poland","POL",52
"Portugal","PRT",52
"Qatar","QAT",74
"Romania","ROU",73
"Russia","RUS",54
"Saudi Arabia","SAU",99
"Senegal","SEN",96
"Serbia","SRB",60
"Singapore","SGP",76
"South Africa","ZAF",60
"South Korea","KOR",64
"Spain","ESP",56
"Sweden","SWE",72
"Switzerland","CHE",88
"Taiwan","TWN",65
"Thailand","THA",46
"Turkey","TUR",46
"United Arab Emirates","ARE",60
"United Kingdom","GBR",63
"United States","USA",60
"Uruguay","URY",100
"Vietnam","VNM",59
