year-month,UV_Average,UV_Max
2007-05,2,5
2007-06,1,4
2007-07,1,4
2007-08,2,6
2007-09,3,9
2007-10,3,10
2007-11,3,13
2007-12,3,12
2008-01,3,14
2008-02,3,12
2008-03,3,11
2008-04,2,8
2008-05,2,6
2008-06,1,4
2008-07,1,5
2008-08,2,7
2008-09,3,10
2008-10,3,10
2008-11,3,12
2008-12,4,13
2009-01,4,14
2009-02,4,14
2009-03,3,12
2009-04,2,9
2009-05,2,6
2009-06,1,4
2009-07,1,4
2009-08,2,6
2009-09,3,8
2009-10,4,11
2009-11,4,13
2009-12,4,15
2010-01,4,14
2010-02,4,14
2010-03,3,10
2010-04,2,8
2010-05,2,5
2010-06,1,4
2010-07,1,4
2010-08,2,7
2010-09,2,8
2010-10,3,10
2010-11,3,13
2010-12,3,16
2011-01,3,14
2011-02,4,13
2011-03,3,12
2011-04,2,8
2011-05,2,5
2011-06,1,4
2011-07,1,4
2011-08,2,7
2011-09,2,9
2011-10,2,10
2011-11,4,12
2011-12,3,12
2012-01,3,15
2012-02,4,15
2012-03,3,11
2012-04,2,9
2012-05,2,5
2012-06,1,4
2012-07,1,4
2012-08,2,6
2012-09,2,9
2012-10,3,12
2012-11,4,12
2012-12,4,13
2013-01,4,13
2013-02,3,12
2013-03,3,12
2013-04,2,8
2013-05,1,6
2013-06,1,4
2013-07,1,5
2013-08,2,7
2013-09,3,9
2013-10,4,13
2013-11,4,13
2013-12,4,14
2014-01,4,15
2014-02,4,13
2014-03,3,12
2014-04,2,8
2014-05,2,5
2014-06,1,4
2014-07,1,4
2014-08,2,6
2014-09,2,9
2014-10,3,10
2014-11,4,12
2014-12,4,14
2015-01,4,14
2015-02,4,13
2015-03,3,11
2015-04,2,8
2015-05,2,6
2015-06,1,4
2015-07,1,5
2015-08,2,7
2015-09,2,9
2015-10,3,12
2015-11,4,12
2015-12,3,13
2016-01,4,13
2016-02,4,14
2016-03,3,9
2016-04,2,8
2016-05,2,5
2016-06,1,4
2016-07,1,5
2016-08,2,7
2016-09,2,9
2016-10,3,11
2016-11,4,12
2016-12,4,14
2017-01,4,14
2017-02,4,13
2017-03,3,12
2017-04,2,8
2017-05,2,6
2017-06,1,4
2017-07,1,5
2017-08,2,6
2017-09,3,10
2017-10,3,11
2017-11,3,12
2017-12,4,13
2018-01,5,14
2018-02,4,13
2018-03,3,11
2018-04,2,9
2018-05,1,5
2018-06,1,4
2018-07,1,4
2018-08,2,6
2018-09,2,8
2018-10,2,10
2018-11,3,11
2018-12,4,13
2019-01,4,13
2019-02,4,13
2019-03,3,11
2019-04,2,8
2019-05,1,6
2019-06,1,4
2019-07,1,4
2019-08,2,6
2019-09,3,9
2019-10,3,10
2019-11,4,12
2019-12,4,13
2020-01,4,13
2020-02,3,12
2020-03,3,11
2020-04,2,8
2020-05,1,5
2020-06,1,4
2020-07,1,4
2020-08,2,6
2020-09,2,8
2020-10,3,10
2020-11,4,12
2020-12,4,13
2021-01,4,14
2021-02,3,13
2021-03,3,11
2021-04,2,8
2021-05,1,5
2021-06,1,4
2021-07,1,4
2021-08,2,6
2021-09,2,8
2021-10,3,10
2021-11,3,13
2021-12,3,13
