year-month,UV_Average,UV_Max
2007-03,2,7
2007-04,1,5
2007-05,1,3
2007-06,0,1
2007-07,0,2
2007-08,1,4
2007-09,1,5
2007-10,2,8
2007-11,3,10
2007-12,3,11
2008-01,4,12
2008-02,3,11
2008-03,2,8
2008-04,1,6
2008-05,0,3
2008-06,0,2
2008-07,0,2
2008-08,1,3
2008-09,1,7
2008-10,2,8
2008-11,3,10
2008-12,3,12
2009-01,4,13
2009-02,3,11
2009-03,2,9
2009-04,2,7
2009-05,0,3
2009-06,0,2
2009-07,0,2
2009-08,1,4
2009-09,1,6
2009-10,2,8
2009-11,3,10
2009-12,4,12
2010-01,4,12
2010-02,3,11
2010-03,2,8
2010-04,1,5
2010-05,0,3
2010-06,0,1
2010-07,0,2
2010-08,0,4
2010-09,1,5
2010-10,2,8
2010-11,2,10
2010-12,3,12
2011-01,3,12
2011-02,3,11
2011-03,2,8
2011-04,1,5
2011-05,0,3
2011-06,0,1
2011-07,0,2
2011-08,1,4
2011-09,1,5
2011-10,2,8
2011-11,2,10
2011-12,3,11
2012-01,3,12
2012-02,3,11
2012-03,2,9
2012-04,1,6
2012-05,0,3
2012-06,0,2
2012-07,0,2
2012-08,1,4
2012-09,1,5
2012-10,2,8
2012-11,3,11
2012-12,3,12
2013-01,4,12
2013-02,3,11
2013-03,2,9
2013-04,1,6
2013-05,0,3
2013-06,0,2
2013-07,0,2
2013-08,1,4
2013-09,1,6
2013-10,2,9
2013-11,2,11
2013-12,3,12
2014-01,4,13
2014-02,3,11
2014-03,2,8
2014-04,1,6
2014-05,0,3
2014-06,0,2
2014-07,0,2
2014-08,1,3
2014-09,1,6
2014-10,2,8
2014-11,3,10
2014-12,3,11
2015-01,3,12
2015-02,3,10
2015-03,2,9
2015-04,1,6
2015-05,1,3
2015-06,0,2
2015-07,0,2
2015-08,1,4
2015-09,1,6
2015-10,2,8
2015-11,2,10
2015-12,4,11
2016-01,3,13
2016-02,3,11
2016-03,2,9
2016-04,1,5
2016-05,1,3
2016-06,0,2
2016-07,0,2
2016-08,1,4
2016-09,1,6
2016-10,2,8
2016-11,2,10
2016-12,3,12
2017-01,4,12
2017-02,3,11
2017-03,3,9
2017-04,1,5
2017-05,1,4
2017-06,0,1
2017-07,0,2
2017-08,1,3
2017-09,1,5
2017-10,2,8
2017-11,3,10
2017-12,3,11
2018-01,3,11
2018-02,3,10
2018-03,2,8
2018-04,1,5
2018-05,0,3
2018-06,0,1
2018-07,0,2
2018-08,1,3
2018-09,1,5
2018-10,2,7
2018-11,2,9
2018-12,3,11
2019-01,4,11
2019-02,3,10
2019-03,2,8
2019-04,1,5
2019-05,0,3
2019-06,0,2
2019-07,0,2
2019-08,1,3
2019-09,1,5
2019-10,2,8
2019-11,2,11
2019-12,3,11
2020-01,3,13
2020-02,3,10
2020-03,2,9
2020-04,1,6
2020-05,1,3
2020-06,0,2
2020-07,0,2
2020-08,1,3
2020-09,1,6
2020-10,2,8
2020-11,3,11
2020-12,3,12
2021-01,3,12
2021-02,3,11
2021-03,2,8
2021-04,1,6
2021-05,1,3
2021-06,0,2
2021-07,0,2
2021-08,1,3
2021-09,1,5
2021-10,2,8
2021-11,2,10
2021-12,3,11
